2023/11/03 10:43:27.039549 middleware.go:36: [Info] method:, path:/v1/master/district, status:200, pid:20648, request_id:ba637d1b-9de5-4b9b-9c1a-325d1d8d1b9b, source:, client_id:, user_id:, resource:,application:auth, version:1.0.0, byte_in:0, byte_out:0, code:, message:, class:[]
2023/11/03 10:43:29.262350 middleware.go:36: [Info] method:, path:/v1/master/district, status:200, pid:20648, request_id:bb637d1b-9de5-4b9b-9c1a-325d1d8d1b9b, source:, client_id:, user_id:, resource:,application:auth, version:1.0.0, byte_in:0, byte_out:0, code:, message:, class:[]
2023/11/03 10:43:30.757120 middleware.go:36: [Info] method:, path:/v1/master/district, status:200, pid:20648, request_id:bc637d1b-9de5-4b9b-9c1a-325d1d8d1b9b, source:, client_id:, user_id:, resource:,application:auth, version:1.0.0, byte_in:0, byte_out:0, code:, message:, class:[]
2023/11/03 10:43:32.462650 middleware.go:36: [Info] method:, path:/v1/master/district, status:200, pid:20648, request_id:bd637d1b-9de5-4b9b-9c1a-325d1d8d1b9b, source:, client_id:, user_id:, resource:,application:auth, version:1.0.0, byte_in:0, byte_out:0, code:, message:, class:[]
2023/11/03 10:43:34.276761 middleware.go:36: [Info] method:, path:/v1/master/district, status:200, pid:20648, request_id:be637d1b-9de5-4b9b-9c1a-325d1d8d1b9b, source:, client_id:, user_id:, resource:,application:auth, version:1.0.0, byte_in:0, byte_out:0, code:, message:, class:[]
2023/11/03 11:15:17.564017 migrate_schema.go:43: [Info] method:, path:, status:200, pid:, request_id:, source:, client_id:, user_id:, resource:auth,application:, version:1.0.0, byte_in:0, byte_out:0, code:, message:Applied 0 migrations!, class:[]
2023/11/03 11:17:23.486181 migrate_schema.go:43: [Info] method:, path:, status:200, pid:, request_id:, source:, client_id:, user_id:, resource:auth,application:, version:1.0.0, byte_in:0, byte_out:0, code:, message:Applied 0 migrations!, class:[]
2023/11/03 11:18:25.564719 migrate_schema.go:43: [Info] method:, path:, status:200, pid:, request_id:, source:, client_id:, user_id:, resource:auth,application:, version:1.0.0, byte_in:0, byte_out:0, code:, message:Applied 0 migrations!, class:[]
2023/11/03 11:18:37.401969 middleware.go:36: [Info] method:, path:/v1/master/district, status:200, pid:30700, request_id:9f1ac5e4-05a2-47ec-a8ee-2cda5fd44f09, source:, client_id:, user_id:, resource:,application:auth, version:1.0.0, byte_in:0, byte_out:0, code:, message:, class:[]
2023/11/03 11:20:24.980416 migrate_schema.go:43: [Info] method:, path:, status:200, pid:, request_id:, source:, client_id:, user_id:, resource:auth,application:, version:1.0.0, byte_in:0, byte_out:0, code:, message:Applied 0 migrations!, class:[]
2023/11/03 11:20:32.222530 middleware.go:36: [Info] method:, path:/v1/master/district, status:200, pid:25180, request_id:e10567d6-b7d8-4721-b18c-a420c4fba72e, source:, client_id:, user_id:, resource:,application:auth, version:1.0.0, byte_in:0, byte_out:0, code:, message:, class:[]
2023/11/03 11:20:35.508058 middleware.go:36: [Info] method:, path:/v1/master/district, status:200, pid:25180, request_id:e20567d6-b7d8-4721-b18c-a420c4fba72e, source:, client_id:, user_id:, resource:,application:auth, version:1.0.0, byte_in:0, byte_out:0, code:, message:, class:[]
2023/11/03 11:20:37.493219 middleware.go:36: [Info] method:, path:/v1/master/district, status:200, pid:25180, request_id:e30567d6-b7d8-4721-b18c-a420c4fba72e, source:, client_id:, user_id:, resource:,application:auth, version:1.0.0, byte_in:0, byte_out:0, code:, message:, class:[]
